วันที่,รายรับ,รายจ่าย,ชนิด,สถานที่,วิธีการชำระเงิน,เกณฑ์
18-Apr-21,,99,รายจ่าย,ออนไลน์,Wallet,ทุติยภูมิ
19-Apr-21,,56,"ข้าวเช้า, น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
19-Apr-21,,15,"ข้าวเช้า, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
19-Apr-21,,110,"ข้าวเที่ยง, รายจ่าย, เข้าเย็น",ออนไลน์,Wallet,ปฐมภูมิ
20-Apr-21,,45,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
20-Apr-21,,10,"รายจ่าย, เข้าเย็น",ออนไลน์,เงินสด,ปฐมภูมิ
21-Apr-21,,95,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",ออนไลน์,เงินสด,ปฐมภูมิ
22-Apr-21,,130,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
22-Apr-21,,100,ลงทุน,ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
23-Apr-21,,100,ลงทุน,ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
23-Apr-21,,61,"ข้าวเช้า, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
23-Apr-21,,20,"ข้าวเที่ยง, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
23-Apr-21,,55,"รายจ่าย, เข้าเย็น",ออนไลน์,Wallet,ปฐมภูมิ
23-Apr-21,,25,"รายจ่าย, เครื่องดื่ม",ออนไลน์,Wallet,ปฐมภูมิ
24-Apr-21,,95,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",ออนไลน์,Wallet,ปฐมภูมิ
24-Apr-21,1000,,รายรับ,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
24-Apr-21,,350,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ตติยภูมิ
25-Apr-21,,40,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
25-Apr-21,,20,"รายจ่าย, เครื่องดื่ม",ร้านค้า,เงินสด,ปฐมภูมิ
26-Apr-21,,61,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",Seven-Eleven,เงินสด,ปฐมภูมิ
27-Apr-21,,101,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",Seven-Eleven,เงินสด,ปฐมภูมิ
28-Apr-21,,19,"รายจ่าย, เครื่องดื่ม",ร้านค้า,เงินสด,ปฐมภูมิ
28-May-21,,60,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
29-Apr-21,,50,"รายจ่าย, เข้าเย็น",ร้านค้า,เงินสด,ปฐมภูมิ
30-Apr-21,,95,"ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",ออนไลน์,เงินสด,ปฐมภูมิ
1-May-21,3000,,เป็นหนี้กยศ,ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-May-21,,100,"ข้าว, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-May-21,,192,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
1-May-21,,990,"คอมพิวเตอร์, ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
1-May-21,,318,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,Wallet,ตติยภูมิ
2-May-21,,113,"ขนม, ข้าวเช้า, ข้าวเที่ยง, รายจ่าย, เข้าเย็น, เครื่องดื่ม",Seven-Eleven,Wallet,ปฐมภูมิ
2-May-21,3922,,รายรับ,ออนไลน์,Cryptocurrency,ตติยภูมิ
2-May-21,,852,"ดนตรี, รายจ่าย",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
3-May-21,,37,"ข้าวเช้า, น้ำ, รายจ่าย",Seven-Eleven,เงินสด,ปฐมภูมิ
3-May-21,,110,"ค่ารถ, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
3-May-21,,620,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
3-May-21,50,,รายรับ,TESCOLOTUS,เงินสด,ปฐมภูมิ
3-May-21,,50,"ข้าวเที่ยง, รายจ่าย",TESCOLOTUS,Wallet,ปฐมภูมิ
3-May-21,,35,"ค่าเน็ต, รายจ่าย",ออนไลน์,Wallet,ปฐมภูมิ
4-May-21,,15,"รายจ่าย, เครื่องใช้",ร้านค้า,เงินสด,ทุติยภูมิ
5-May-21,,595,"ค่าเช่าหอพัก, รายจ่าย",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
6-May-21,,20,รายจ่าย,ออนไลน์,Wallet,ตติยภูมิ
6-May-21,,1884,"ค่าเน็ต, รายจ่าย",ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
7-May-21,,915,ลงทุน,ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
11-May-21,,200,ลงทุน,ออนไลน์,เน็ตแบงค์,ทุติยภูมิ
12-May-21,,30,ของกิน,ไม่ระบุ,เงินสด,ปฐมภูมิ
12-May-21,400,,รายรับ,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
14-May-21,,400,ลงทุน,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
18-May-21,972,,"รายรับ, ลงทุน",ออนไลน์,Cryptocurrency,ตติยภูมิ
20-May-21,342,,"รายรับ, ลงทุน",ออนไลน์,Cryptocurrency,ตติยภูมิ
25-May-21,,852,,ออนไลน์,เน็ตแบงค์,ตติยภูมิ
22-May-21,,70,"ขนม, รายจ่าย",ไม่ระบุ,เงินสด,ปฐมภูมิ
29-May-21,300,,รายรับ,ไม่ระบุ,เงินสด,ทุติยภูมิ
30-May-21,300,,รายรับ,ไม่ระบุ,เงินสด,ทุติยภูมิ
31-May-21,1900,,รายรับ,ไม่ระบุ,เงินสด,ตติยภูมิ
31-May-21,,500,"ค่าเช่าหอพัก, รายจ่าย",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
31-May-21,,80,"ขนม, นม, รายจ่าย",ร้านค้า,เงินสด,ปฐมภูมิ
1-Jun-21,,84,"ค่าเกี่ยวเนื่องการศึกษา, รายจ่าย",ออนไลน์,เน็ตแบงค์,ปฐมภูมิ
3-Jun-21,,1090,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เงินสด,ทุติยภูมิ
4-Jun-21,,214,"คอมพิวเตอร์, รายจ่าย",ออนไลน์,เงินสด,ทุติยภูมิ
10-Jun-21,,130,"ขนม, รายจ่าย",ออนไลน์,เงินสด,ปฐมภูมิ
15-Jun-21,100,,รายรับ,ไม่ระบุ,เงินสด,ตติยภูมิ
16-Jun-21,,50,"ขนม, รายจ่าย",ไม่ระบุ,เงินสด,ทุติยภูมิ
